num,prov,poly_num,X,Y,Path
13008,NB,1,8126901.98571429,1470250.03714286,1611
13008,NB,1,8126430.77428571,1467052.65714286,1612
13008,NB,1,8132104.63714286,1464823.98571429,1613
13008,NB,1,8132528.76857143,1468578.36857143,1614
13008,NB,1,8134749.58285714,1467665.57714286,1615
13008,NB,1,8136479.64571429,1468794.7,1616
13008,NB,1,8139085.13714286,1467914.87714286,1617
13008,NB,1,8143121.66285714,1468184.06285714,1618
13008,NB,1,8142428.49428571,1466597.77714286,1619
13008,NB,1,8143134.18285714,1466059.28571429,1620
13008,NB,1,8142799.70571429,1465059.78857143,1621
13008,NB,1,8144019.52571429,1465000.71142857,1622
13008,NB,1,8143045.58571429,1461642.21142857,1623
13008,NB,1,8143847.09142857,1461379.56571429,1624
13008,NB,1,8144189.30571429,1458155.94,1625
13008,NB,1,8145695.33142857,1456029.69142857,1626
13008,NB,1,8159104.09142857,1459490.32,1627
13008,NB,1,8161717.68,1478122.38571429,1628
13008,NB,1,8164987.0,1477119.81714286,1629
13008,NB,1,8168006.84857143,1477412.55714286,1630
13008,NB,1,8169076.89142857,1477995.21142857,1631
13008,NB,1,8170155.40857143,1483386.85714286,1632
13008,NB,1,8172159.89428571,1485593.72,1633
13008,NB,1,8175186.06285714,1487386.68,1634
13008,NB,1,8181753.78285714,1488407.55428571,1635
13008,NB,1,8182497.50857143,1489647.1,1636
13008,NB,1,8181955.02285714,1489666.47428571,1637
13008,NB,1,8182168.14285714,1490654.57714286,1638
13008,NB,1,8183001.34857143,1490519.32857143,1639
13008,NB,1,8189449.03142857,1513517.61142857,1640
13008,NB,1,8203345.73142857,1497353.68571429,1641
13008,NB,1,8209293.52285714,1512573.86,1642
13008,NB,1,8217153.97142857,1503392.03428571,1643
13008,NB,1,8218138.28571429,1503940.03714286,1644
13008,NB,1,8219934.88571429,1502487.78571429,1645
13008,NB,1,8225876.84857143,1501912.49714286,1646
13008,NB,1,8222958.30571429,1493415.21428571,1647
13008,NB,1,8224942.48571429,1490807.51428571,1648
13008,NB,1,8222896.20285714,1490898.70571429,1649
13008,NB,1,8220053.41714286,1488984.88857143,1650
13008,NB,1,8220108.33714286,1487250.75714286,1651
13008,NB,1,8215815.87714286,1481891.38285714,1652
13008,NB,1,8213169.73428571,1475228.51428571,1653
13008,NB,1,8209622.58857143,1479329.96857143,1654
13008,NB,1,8205057.24571429,1474686.87714286,1655
13008,NB,1,8203133.35142857,1469222.05428571,1656
13008,NB,1,8204262.43714286,1466552.20285714,1657
13008,NB,1,8201222.09428571,1458958.44285714,1658
13008,NB,1,8197475.83428571,1461683.97142857,1659
13008,NB,1,8193804.57714286,1453642.93714286,1660
13008,NB,1,8192845.9,1452879.24571429,1661
13008,NB,1,8192012.28571429,1453255.12857143,1662
13008,NB,1,8190619.81428571,1446233.48571429,1663
13008,NB,1,8187215.6,1435633.62857143,1664
13008,NB,1,8185544.71428571,1426654.73714286,1665
13008,NB,1,8188171.54857143,1425197.07428571,1666
13008,NB,1,8190032.41142857,1425446.29714286,1667
13008,NB,1,8192174.82857143,1422994.67428571,1668
13008,NB,1,8188101.99714286,1418817.72571429,1669
13008,NB,1,8194762.64,1402763.49142857,1670
13008,NB,1,8180919.00857143,1380782.78,1671
13008,NB,1,8178935.40857143,1379951.49714286,1672
13008,NB,1,8179629.2,1378442.50285714,1673
13008,NB,1,8172841.52571429,1367168.64285714,1674
13008,NB,1,8186106.90857143,1333692.99428571,1675
13008,NB,1,8186299.60285714,1331027.39714286,1676
13008,NB,1,8184886.51428571,1327912.17714286,1677
13008,NB,1,8172280.54857143,1323038.91428571,1678
13008,NB,1,8169238.73714286,1324246.69142857,1679
13008,NB,1,8165056.24857143,1334479.25428571,1680
13008,NB,1,8164146.88857143,1346678.33714286,1681
13008,NB,1,8156958.69142857,1349394.96571429,1682
13008,NB,1,8154376.31714286,1348739.68285714,1683
